Frames,Timestamp,gne_ratio,pid,qid
1184,6.295241467769329,0.4908741151008672,40,13
1185,6.29955225609816,0.5615563984545051,40,13
1186,6.303863044426991,0.5943583622858339,40,13
1187,6.3081738327558226,0.5989974719141502,40,13
1188,6.3124846210846535,0.5992738451875944,40,13
1189,6.316795409413484,0.6016222575397114,40,13
1190,6.321106197742315,0.0,40,13
1191,6.325416986071146,0.0,40,13
1192,6.329727774399977,0.0,40,13
1193,6.334038562728808,0.0,40,13
1194,6.338349351057639,0.0,40,13
1195,6.34266013938647,0.0,40,13
1196,6.346970927715301,0.0,40,13
1197,6.351281716044133,0.0,40,13
1198,6.3555925043729635,0.0,40,13
1199,6.359903292701794,0.0,40,13
1200,6.364214081030625,0.0,40,13
1201,6.368524869359456,0.0,40,13
1202,6.372835657688287,0.0,40,13
1203,6.377146446017118,0.0,40,13
1204,6.381457234345949,0.0,40,13
1205,6.38576802267478,0.0,40,13
1206,6.390078811003612,0.0,40,13
1207,6.394389599332443,0.0,40,13
1208,6.398700387661274,0.0,40,13
1209,6.4030111759901045,0.0,40,13
1210,6.407321964318935,0.0,40,13
1211,6.411632752647766,0.0,40,13
1212,6.415943540976597,0.0,40,13
1213,6.420254329305428,0.0,40,13
1214,6.424565117634259,0.0,40,13
1215,6.428875905963091,0.0,40,13
1216,6.433186694291922,0.0,40,13
1217,6.437497482620753,0.0,40,13
1218,6.441808270949584,0.0,40,13
1219,6.4461190592784146,0.0,40,13
1220,6.4504298476072455,0.0,40,13
1221,6.454740635936076,0.0,40,13
1222,6.459051424264907,0.0,40,13
1223,6.463362212593738,0.0,40,13
1224,6.467673000922569,0.5244753758804993,40,13
1225,6.471983789251401,0.5406251761189677,40,13
1226,6.476294577580232,0.5594339114723047,40,13
1227,6.480605365909063,0.5711488109578753,40,13
1228,6.484916154237894,0.5644023019948644,40,13
1229,6.489226942566725,0.5419822611803188,40,13
1230,6.4935377308955555,0.5097701682599247,40,13
1231,6.497848519224386,0.47262562091794047,40,13
1232,6.502159307553217,0.44169628980275766,40,13
1233,6.506470095882048,0.43037057195823747,40,13
1234,6.51078088421088,0.45506655524109496,40,13
1235,6.515091672539711,0.5238528452221112,40,13
1236,6.519402460868542,0.5936721110691369,40,13
1237,6.523713249197373,0.6229242399145037,40,13
1238,6.528024037526204,0.6246846230165806,40,13
1239,6.532334825855035,0.6234458349077969,40,13
1240,6.536645614183866,0.624289687107343,40,13
1241,6.5409564025126965,0.6295537263158636,40,13
1242,6.545267190841527,0.0,40,13
1243,6.549577979170359,0.0,40,13
1244,6.55388876749919,0.0,40,13
1245,6.558199555828021,0.0,40,13
1246,6.562510344156852,0.0,40,13
1247,6.566821132485683,0.0,40,13
1248,6.571131920814514,0.0,40,13
1249,6.575442709143345,0.0,40,13
1250,6.579753497472176,0.0,40,13
1251,6.5840642858010066,0.0,40,13
1252,6.5883750741298375,0.0,40,13
1253,6.592685862458669,0.0,40,13
1254,6.5969966507875,0.0,40,13
1255,6.601307439116331,0.0,40,13
1256,6.605618227445162,0.0,40,13
1257,6.609929015773993,0.0,40,13
1258,6.614239804102824,0.0,40,13
1259,6.618550592431655,0.0,40,13
1260,6.622861380760486,0.0,40,13
1261,6.627172169089317,0.0,40,13
1262,6.631482957418148,0.0,40,13
1263,6.635793745746979,0.0,40,13
1264,6.64010453407581,0.0,40,13
1265,6.644415322404641,0.0,40,13
1266,6.648726110733472,0.0,40,13
1267,6.653036899062303,0.0,40,13
1268,6.657347687391134,0.0,40,13
1269,6.661658475719965,0.0,40,13
1270,6.665969264048796,0.0,40,13
1271,6.6702800523776276,0.0,40,13
1272,6.6745908407064585,0.0,40,13
1273,6.678901629035289,0.0,40,13
1274,6.68321241736412,0.0,40,13
1275,6.687523205692951,0.539650294671399,40,13
1276,6.691833994021782,0.5597986421244008,40,13
1277,6.696144782350613,0.5809510348980829,40,13
1278,6.700455570679444,0.5934612253636908,40,13
1279,6.704766359008275,0.587480726239599,40,13
1280,6.709077147337107,0.5679663856751623,40,13
1281,6.713387935665938,0.5402426425883194,40,13
1282,6.7176987239947685,0.5060407189075442,40,13
1283,6.7220095123235994,0.4767033915078456,40,13
1284,6.72632030065243,0.4667542664486036,40,13
1285,6.730631088981261,0.4933902757456425,40,13
1286,6.734941877310092,0.5624958541564916,40,13
1287,6.739252665638923,0.6289811570026919,40,13
1288,6.743563453967754,0.6526560192036828,40,13
1289,6.747874242296585,0.6501295391198592,40,13
